"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,122,"KGZ","Kyrgyzstan",1,"Batken",1,"Batken","Rayon","District",NA,NA
2,122,"KGZ","Kyrgyzstan",1,"Batken",2,"Kadamjai","Rayon","District",NA,NA
3,122,"KGZ","Kyrgyzstan",1,"Batken",3,"Lailak","Rayon","District",NA,NA
4,122,"KGZ","Kyrgyzstan",2,"Biškek",4,"Biškek","Shaar","City",NA,NA
5,122,"KGZ","Kyrgyzstan",3,"Chüy",5,"Alamüdün","Rayon","District",NA,NA
6,122,"KGZ","Kyrgyzstan",3,"Chüy",6,"Chui","Rayon","District",NA,NA
7,122,"KGZ","Kyrgyzstan",3,"Chüy",7,"Jaiyl","Rayon","District",NA,NA
8,122,"KGZ","Kyrgyzstan",3,"Chüy",8,"Kemin","Rayon","District",NA,NA
9,122,"KGZ","Kyrgyzstan",3,"Chüy",9,"Moskovsky","Rayon","District",NA,NA
10,122,"KGZ","Kyrgyzstan",3,"Chüy",10,"Panfilov","Rayon","District",NA,NA
11,122,"KGZ","Kyrgyzstan",3,"Chüy",11,"Sokuluk","Rayon","District",NA,NA
12,122,"KGZ","Kyrgyzstan",3,"Chüy",12,"Ysyk-Ata","Rayon","District",NA,NA
13,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad",13,"Aksyi","Rayon","District",NA,NA
14,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad",14,"Ala-Buka","Rayon","District",NA,NA
15,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad",15,"Bazar-Korgon","Rayon","District",NA,NA
16,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad",16,"Chatkal","Rayon","District",NA,NA
17,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad",17,"Nooken","Rayon","District",NA,NA
18,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad",18,"Suzak","Rayon","District",NA,NA
19,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad",19,"Togus-Toro","Rayon","District",NA,NA
20,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad",20,"Toktogul","Rayon","District",NA,NA
21,122,"KGZ","Kyrgyzstan",5,"Naryn",21,"Ak-Talaa","Rayon","District",NA,NA
22,122,"KGZ","Kyrgyzstan",5,"Naryn",22,"At-Bashi","Rayon","District",NA,NA
23,122,"KGZ","Kyrgyzstan",5,"Naryn",23,"Jumgal","Rayon","District",NA,NA
24,122,"KGZ","Kyrgyzstan",5,"Naryn",24,"Kochkor","Rayon","District",NA,NA
25,122,"KGZ","Kyrgyzstan",5,"Naryn",25,"Naryn","Rayon","District",NA,NA
26,122,"KGZ","Kyrgyzstan",5,"Naryn",26,"Song-Kol","Water body","Water body",NA,NA
27,122,"KGZ","Kyrgyzstan",6,"Osh (city)",27,"Osh","Shaar","City",NA,NA
28,122,"KGZ","Kyrgyzstan",7,"Osh",28,"Alai","Rayon","District",NA,NA
29,122,"KGZ","Kyrgyzstan",7,"Osh",29,"Aravan","Rayon","District",NA,NA
30,122,"KGZ","Kyrgyzstan",7,"Osh",30,"Chong-Alay","Rayon","District",NA,NA
31,122,"KGZ","Kyrgyzstan",7,"Osh",31,"Kara-Kuldja","Rayon","District",NA,NA
32,122,"KGZ","Kyrgyzstan",7,"Osh",32,"Kara-Suu","Rayon","District",NA,NA
33,122,"KGZ","Kyrgyzstan",7,"Osh",33,"Nookat","Rayon","District",NA,NA
34,122,"KGZ","Kyrgyzstan",7,"Osh",34,"Uzgen","Rayon","District",NA,NA
35,122,"KGZ","Kyrgyzstan",8,"Talas",35,"Bakai-Ata","Rayon","District",NA,NA
36,122,"KGZ","Kyrgyzstan",8,"Talas",36,"Kara-Buura","Rayon","District",NA,NA
37,122,"KGZ","Kyrgyzstan",8,"Talas",37,"Manas","Rayon","District",NA,NA
38,122,"KGZ","Kyrgyzstan",8,"Talas",38,"Talas","Rayon","District",NA,NA
39,122,"KGZ","Kyrgyzstan",9,"Ysyk-Köl",39,"Ak-Suu","Rayon","District",NA,NA
40,122,"KGZ","Kyrgyzstan",9,"Ysyk-Köl",40,"Djety-Oguz","Rayon","District",NA,NA
41,122,"KGZ","Kyrgyzstan",9,"Ysyk-Köl",41,"Tüp","Rayon","District",NA,NA
42,122,"KGZ","Kyrgyzstan",9,"Ysyk-Köl",42,"Ton","Rayon","District",NA,NA
43,122,"KGZ","Kyrgyzstan",9,"Ysyk-Köl",43,"Ysyk-Köl (lake)","Water body","Water body",NA,NA
44,122,"KGZ","Kyrgyzstan",9,"Ysyk-Köl",44,"Ysyk-Köl","Rayon","District",NA,NA
